,index,3P%,3PA,3PM,AST,BLK,DRB,FG%,FGA,FGM,FT%,FTA,FTM,GP,MIN,ORB,PF,PTS,Player,REB,STL,TOV,Team
134,34,0.374,4.1,1.5,1.1,0.1,1.9,0.421,7.8,3.3,0.881,1.9,1.7,437,24.1,0.3,1.3,9.8,Jodie Meeks *,2.2,0.8,0.8,-
135,35,0.412,2.7,1.1,6.4,0.1,2.2,0.474,7.9,3.8,0.875,1.3,1.2,764,28.5,0.4,1.7,9.8,Jose Calderon *,2.6,0.9,1.6,-
136,36,0.355,3.8,1.3,1.2,0.3,2.0,0.417,8.5,3.5,0.804,1.7,1.4,671,20.6,0.5,2.2,9.7,C.J. Miles *,2.4,0.8,0.9,-
137,37,0.379,2.4,0.9,2.3,0.5,2.8,0.444,8.0,3.6,0.75,2.2,1.7,105,24.9,0.6,1.9,9.7,Tyler Johnson *,3.4,0.9,1.1,MIA
138,38,0.375,3.3,1.2,3.9,0.0,1.5,0.404,7.8,3.2,0.867,2.5,2.1,612,23.9,0.3,1.5,9.7,D.J. Augustin *,1.8,0.6,1.5,-
139,39,0.389,2.7,1.1,1.6,0.3,2.2,0.45,8.2,3.7,0.846,1.4,1.2,633,27.5,0.5,1.7,9.6,Courtney Lee *,2.6,1.0,1.0,-
140,40,0.419,3.5,1.5,0.9,0.1,1.7,0.448,7.9,3.5,0.876,1.2,1.1,544,22.1,0.6,1.6,9.6,Anthony Morrow *,2.2,0.6,0.7,-
141,41,0.383,3.5,1.3,1.6,0.1,1.8,0.425,8.1,3.4,0.823,1.7,1.4,604,23.1,0.2,1.5,9.6,Marco Belinelli *,2.0,0.6,1.0,-
142,42,0.285,2.3,0.7,1.6,0.3,2.1,0.424,8.5,3.6,0.711,2.3,1.6,669,24.4,0.8,2.2,9.5,Corey Brewer *,2.9,1.3,1.3,-
143,43,0.0,0.0,0.0,0.8,0.8,5.3,0.507,7.3,3.7,0.62,3.3,2.1,425,28.5,3.4,2.4,9.4,Tristan Thompson *,8.7,0.5,1.1,CLE
144,44,0.376,4.3,1.6,0.9,0.3,2.2,0.422,8.4,3.6,0.805,0.8,0.7,346,23.2,0.4,1.8,9.4,Terrence Ross *,2.6,0.7,0.8,TOR
145,45,0.368,2.5,0.9,1.6,0.5,3.2,0.463,7.6,3.5,0.743,1.9,1.4,235,20.7,1.4,2.9,9.4,Kelly Olynyk *,4.6,0.7,1.3,BOS
146,46,0.083,0.0,0.0,1.0,1.3,4.0,0.494,7.8,3.9,0.694,2.3,1.6,546,25.2,2.4,2.6,9.3,Taj Gibson *,6.4,0.5,1.2,CHI
147,47,0.325,1.4,0.5,0.6,0.1,1.8,0.467,7.4,3.5,0.743,2.6,1.9,191,18.0,1.1,1.1,9.3,Shabazz Muhammad *,3.0,0.3,0.8,MIN
148,48,0.39,3.1,1.2,1.0,0.7,3.8,0.439,8.0,3.5,0.821,1.3,1.1,757,23.7,1.0,2.7,9.3,Channing Frye *,4.8,0.5,1.0,-
