,index,3P%,3PA,3PM,AST,BLK,DRB,FG%,FGA,FGM,FT%,FTA,FTM,GP,MIN,ORB,PF,PTS,Player,REB,STL,TOV,Team
145,45,0.221,68,15,337,991,2317,0.532,2512,1336,0.654,1632,1068,695,12273.1,1176,1342,3755,Chris Andersen *,3493,312,512,-
146,46,0.284,359,102,904,331,1452,0.493,2781,1371,0.734,1226,900,274,8508.3,359,804,3744,Giannis Antetokounmpo *,1811,294,608,MIL
147,47,0.318,393,125,508,223,1608,0.447,3154,1410,0.658,1083,713,579,13496.3,923,1066,3658,Luc Mbah a Moute *,2531,497,556,-
148,48,0.401,1897,761,356,213,1028,0.4,2948,1180,0.845,619,523,683,10869.1,224,906,3644,James Jones *,1252,223,225,-
149,49,0.0,3,0,206,351,1817,0.553,2556,1413,0.783,1036,811,319,8384.3,861,917,3637,Jonas Valanciunas *,2678,115,476,TOR
150,50,0.34,1522,518,555,320,1278,0.406,3450,1401,0.745,411,306,463,11097.0,289,933,3626,Wesley Johnson *,1567,364,447,-
151,51,0.125,8,1,146,730,1461,0.547,2753,1506,0.578,980,566,451,8257.9,861,995,3579,JaVale McGee *,2322,171,460,-
152,52,0.367,1009,370,553,238,1449,0.46,3137,1442,0.746,378,282,445,10757.5,673,842,3536,Patrick Patterson *,2122,271,348,-
153,53,0.371,1329,493,521,33,832,0.411,3176,1305,0.849,398,338,473,9424.0,159,511,3441,Wayne Ellington *,991,228,324,-
154,54,0.0,0,0,199,151,1004,0.518,2537,1314,0.76,1023,777,271,6745.6,803,632,3405,Nikola Pekovic *,1807,140,415,MIN
155,55,0.318,805,256,590,277,1978,0.427,2969,1269,0.724,814,589,481,11356.8,670,902,3383,Al-Farouq Aminu *,2648,458,604,-
156,56,0.306,121,37,400,353,1220,0.468,2979,1395,0.782,625,489,524,8885.1,586,1169,3316,Jason Smith *,1806,190,449,-
157,57,0.376,1498,563,297,104,750,0.422,2916,1232,0.805,293,236,346,8028.9,141,617,3263,Terrence Ross *,891,257,268,TOR
158,58,0.41,935,383,587,59,441,0.453,2708,1228,0.821,485,398,220,5619.9,102,432,3237,C.J. McCollum *,543,194,370,POR
159,59,0.305,285,87,386,280,1382,0.466,3039,1416,0.651,487,317,538,11390.1,639,991,3236,Dante Cunningham *,2021,372,284,-
160,60,0.0,1,0,391,448,1937,0.561,2398,1346,0.571,946,540,472,9889.4,1079,1159,3232,Ed Davis *,3016,253,370,-
161,61,0.136,22,3,322,272,1510,0.497,2731,1356,0.699,737,515,407,7684.2,878,875,3230,Jordan Hill *,2388,150,425,-
162,62,0.34,1216,414,420,54,640,0.411,2880,1183,0.777,539,419,277,8296.8,188,540,3199,Kentavious Caldwell-Pope *,828,328,277,DET
163,63,0.34,948,322,1371,355,1950,0.44,2627,1157,0.689,809,557,358,9380.6,449,999,3193,Draymond Green *,2399,466,622,GSW
164,64,0.403,1202,484,430,242,1157,0.429,2702,1160,0.704,392,276,447,9676.7,172,583,3080,Brandon Rush *,1329,202,377,-
165,65,0.337,359,121,374,289,1151,0.445,2927,1302,0.763,447,341,460,8416.4,526,1172,3066,Darrell Arthur *,1677,286,390,-
166,66,0.311,640,199,2551,37,1102,0.369,2573,949,0.818,1173,960,311,9785.6,223,804,3057,Ricky Rubio *,1325,678,850,MIN
167,67,0.0,4,0,211,431,1672,0.533,2527,1347,0.599,584,350,540,8704.7,950,1096,3044,Kosta Koufos *,2622,212,377,-
168,68,0.368,1404,517,714,33,868,0.393,2668,1048,0.866,462,400,561,8688.6,196,860,3013,Sasha Vujacic *,1064,330,323,-
169,69,0.295,488,144,683,405,1054,0.478,2508,1200,0.688,670,461,433,8144.6,376,930,3005,James Johnson *,1430,317,567,-
170,70,0.359,1433,514,417,145,1271,0.411,2377,978,0.78,572,446,481,9447.1,415,786,2916,Anthony Tolliver *,1686,174,288,-
171,71,0.356,694,247,347,114,1231,0.459,2389,1096,0.768,607,466,448,8370.6,610,904,2905,Jonas Jerebko *,1841,265,348,-
172,72,0.318,173,55,426,245,1507,0.516,2342,1209,0.625,658,411,427,8889.5,844,868,2884,Trevor Booker *,2351,301,419,-
173,73,0.175,40,7,227,358,1347,0.535,2150,1151,0.735,771,567,410,7604.5,716,929,2876,Timofey Mozgov *,2063,131,472,-
174,74,0.276,500,138,474,160,1305,0.439,2638,1157,0.727,556,404,258,6413.8,674,767,2856,Jared Sullinger *,1979,176,328,BOS
175,75,0.364,428,156,505,41,570,0.432,2214,956,0.75,919,689,263,5980.9,188,523,2757,Alec Burks *,758,166,378,UTA
176,76,0.325,572,186,440,101,970,0.434,2308,1001,0.754,751,566,417,9069.3,389,792,2754,Alonzo Gee *,1359,379,447,-
177,77,0.386,741,286,642,35,493,0.447,2225,995,0.825,492,406,196,5579.0,72,435,2682,Zach LaVine *,565,154,422,MIN
178,78,0.334,569,190,1000,20,465,0.431,2192,944,0.798,535,427,244,4956.7,79,384,2505,Dennis Schroder *,544,168,508,ATL
179,79,0.34,606,206,487,24,444,0.439,2205,969,0.808,442,357,180,5173.1,181,350,2501,Jordan Clarkson *,625,192,307,LAL
180,80,0.0,1,0,277,337,2286,0.529,1771,936,0.554,1049,581,450,9021.2,1026,900,2453,Omer Asik *,3312,164,531,-
181,81,0.343,934,320,320,50,539,0.413,2126,878,0.783,434,340,262,6777.9,124,597,2416,Ben McLemore *,663,187,355,SAC
182,82,0.341,575,196,900,195,1218,0.464,1970,914,0.705,438,309,431,8265.7,469,815,2333,Josh McRoberts *,1687,222,381,-
183,83,0.325,231,75,273,192,933,0.52,1807,940,0.811,460,373,120,3978.5,362,359,2328,Karl-Anthony Towns *,1295,80,283,MIN
184,84,0.376,1093,411,815,104,652,0.415,2000,830,0.768,314,241,250,7032.9,305,760,2312,Patrick Beverley *,957,304,322,HOU
185,85,0.0,6,0,296,450,959,0.533,1802,961,0.565,607,343,292,5573.8,549,639,2265,John Henson *,1508,122,348,MIL
